Weight,Height,Width,Color,Animal
870.75,1.07,2.57,Marron,Oso
535.79,1.06,2.75,Marron,Oso
609.8,1.05,1.95,Marron,Oso
739.38,1.4,1.83,Negro,Oso
372.21,0.95,1.85,Negro,Oso
790.42,1.22,2.92,Marron,Oso
746.44,1.23,2.39,Negro,Oso
532.61,1.33,1.96,Negro,Oso
602.3,0.92,2.6,Negro,Oso
1288.36,1.37,2.97,Negro,Oso
870.75,1.07,2.57,Marron,Oso
835.36,1.42,2.95,Marron,Oso
990.41,1.45,2.53,Negro,Oso
,1.19,2.07,Negro,Oso
,0.98,,Blanco,Oso
459.96,1.07,1.8,Negro,Oso
587.21,1.18,1.97,Marron,Oso
755.27,1.3,2.27,Marron,Oso
637.2,1.49,1.83,Marron,Oso
913.77,1.49,2.24,Negro,Oso
870.75,1.07,2.57,Marron,Oso
,1.27,2.79,Blanco,Oso
823.24,1.1,2.61,Blanco,Oso
882.75,0.96,2.82,Blanco,Oso
482.91,0.95,2.07,Negro,Oso
647.26,1.25,2.38,Marron,Oso
389.33,0.96,2.21,Blanco,Oso
803.66,0.99,2.91,Negro,Oso
598.77,1.48,2.19,Marron,Oso
416.48,1.11,1.92,Marron,Oso
870.75,1.07,2.57,Marron,Oso
777.32,1.2,2.52,Blanco,Oso
430.51,1.28,1.81,Negro,Oso
766.17,0.97,2.77,Blanco,Oso
870.15,1.47,2.36,Negro,Oso
879.84,1.03,2.92,Marron,Oso
,1.46,,Negro,Oso
710.49,1.02,2.16,Negro,Oso
855.94,1.37,2.66,Negro,Oso
652.78,0.94,2.23,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
,0.99,,Negro,Oso
,0.98,2.64,Blanco,Oso
761.09,1.1,2.73,Marron,Oso
566.65,1.13,2.82,Blanco,Oso
465.84,1.15,1.96,Marron,Oso
,1.18,,Marron,Oso
652.26,1.41,2.49,Marron,Oso
1047.09,1.46,2.79,Marron,Oso
984.73,1.49,2.17,Negro,Oso
870.75,1.07,2.57,Marron,Oso
873.17,1.37,1.99,Blanco,Oso
514.42,1.03,1.88,Negro,Oso
937.87,1.32,2.57,Blanco,Oso
626.71,1.02,2.98,Marron,Oso
,,2.52,Blanco,Oso
,1,2.86,Marron,Oso
754.57,1.36,2.53,Negro,Oso
1028.86,1.43,2.42,Blanco,Oso
406.01,1.06,2.08,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
1044.28,1.38,2.67,Blanco,Oso
,,2.18,Marron,Oso
412.92,1.21,1.94,Marron,Oso
643.07,1.08,2.82,Marron,Oso
650.4,1.32,2.09,Blanco,Oso
720.16,0.98,2.86,Negro,Oso
903.13,0.99,2.98,Negro,Oso
1145.62,1.3,2.95,Marron,Oso
622.43,1.3,1.87,Marron,Oso
870.75,1.07,2.57,Marron,Oso
537.82,1.1,2.35,Blanco,Oso
561.98,1.08,2.47,Marron,Oso
947.37,1.31,2.8,Marron,Oso
,1.43,,Marron,Oso
1167.51,1.44,2.75,Negro,Oso
925.72,1.31,3,Negro,Oso
606.8,0.96,2.47,Negro,Oso
834.28,1.1,2.93,Marron,Oso
576.5,1.07,2.08,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
569.12,1.37,2.1,Negro,Oso
550.36,1.07,2.57,Negro,Oso
623.92,0.91,2.46,Marron,Oso
539.45,0.95,2,Negro,Oso
750.5,0.95,2.93,Marron,Oso
848.8,1.23,2.21,Marron,Oso
724.03,0.95,2.85,Negro,Oso
870.5,1.04,2.67,Marron,Oso
706.9,1.33,2.85,Blanco,Oso
870.75,1.07,2.57,Marron,Oso
561.82,1.06,1.82,Blanco,Oso
1148.89,1.37,2.64,Blanco,Oso
511.29,0.93,1.88,Negro,Oso
721.11,1.01,2.5,Marron,Oso
543.05,0.92,1.84,Marron,Oso
458.99,1.09,2.15,Blanco,Oso
691.55,1.11,2.67,Marron,Oso
724.81,1.49,2.2,Blanco,Oso
727.27,1.27,2.37,Marron,Oso
